# (Y - y) / L, [-]   F / (EA), [-]
0.0000           0.0000
0.0200           0.0100
0.0400           0.0199
0.0600           0.0298
0.0800           0.0395
0.1000           0.0490
0.1200           0.0583
0.1400           0.0673
0.1600           0.0760
0.1800           0.0842
0.2000           0.0920
0.2200           0.0993
0.2400           0.1059
0.2600           0.1119
0.2800           0.1171
0.3000           0.1215
0.3200           0.1251
0.3400           0.1276
0.3600           0.1292
0.3800           0.1297
0.4000           0.1290
0.4200           0.1272
0.4400           0.1243
0.4600           0.1201
0.4800           0.1147
0.5000           0.1081
0.5200           0.1004
0.5400           0.0916
0.5600           0.0818
0.5800           0.0710
0.6000           0.0593
0.6200           0.0469
0.6400           0.0340
0.6600           0.0206
0.6800           0.0068
0.7000           -0.0070
0.7200           -0.0208
0.7400           -0.0345
0.7600           -0.0478
0.7800           -0.0606
0.8000           -0.0728
0.8200           -0.0842
0.8400           -0.0947
0.8600           -0.1043
0.8800           -0.1128
0.9000           -0.1202
0.9200           -0.1264
0.9400           -0.1314
0.9600           -0.1352
0.9800           -0.1379
1.0000           -0.1393
1.0200           -0.1396
1.0400           -0.1388
1.0600           -0.1370
1.0800           -0.1341
1.1000           -0.1303
1.1200           -0.1257
1.1400           -0.1202
1.1600           -0.1141
1.1800           -0.1072
1.2000           -0.0998
1.2200           -0.0919
1.2400           -0.0835
1.2600           -0.0747
1.2800           -0.0656
1.3000           -0.0563
1.3200           -0.0467
1.3400           -0.0369
1.3600           -0.0270
1.3800           -0.0171
1.4000           -0.0071
1.4200           0.0029
1.4400           0.0129
1.4600           0.0228
1.4800           0.0326
1.5000           0.0424
1.5200           0.0520
1.5400           0.0615
1.5600           0.0709
1.5800           0.0800
1.6000           0.0891
1.6200           0.0979
1.6400           0.1065
1.6600           0.1150
1.6800           0.1233
1.7000           0.1313
1.7200           0.1392
1.7400           0.1468
1.7600           0.1543
1.7800           0.1615
1.8000           0.1686
1.8200           0.1754
1.8400           0.1821
1.8600           0.1885
1.8800           0.1948
1.9000           0.2008
1.9200           0.2067
1.9400           0.2124
1.9600           0.2179
1.9800           0.2232
2.0000           0.2284
