# (Y - y) / L, [-]   F / (EA), [-]
0.0000           0.0000
0.0200           0.0100
0.0400           0.0199
0.0600           0.0298
0.0800           0.0395
0.1000           0.0490
0.1200           0.0583
0.1400           0.0673
0.1600           0.0760
0.1800           0.0751
0.2000           0.0741
0.2200           0.0729
0.2400           0.0716
0.2600           0.0702
0.2800           0.0685
0.3000           0.0667
0.3200           0.0648
0.3400           0.0626
0.3600           0.0603
0.3800           0.0577
0.4000           0.0550
0.4200           0.0521
0.4400           0.0489
0.4600           0.0456
0.4800           0.0421
0.5000           0.0384
0.5200           0.0345
0.5400           0.0305
0.5600           0.0263
0.5800           0.0220
0.6000           0.0176
0.6200           0.0130
0.6400           0.0084
0.6600           0.0037
0.6800           -0.0011
0.7000           -0.0058
0.7200           -0.0106
0.7400           -0.0152
0.7600           -0.0195
0.7800           -0.0235
0.8000           -0.0271
0.8200           -0.0300
0.8400           -0.0324
0.8600           -0.0340
0.8800           -0.0349
0.9000           -0.0350
0.9200           -0.0343
0.9400           -0.0327
0.9600           -0.0303
0.9800           -0.0271
1.0000           -0.0230
1.0200           -0.0182
1.0400           -0.0127
1.0600           -0.0064
1.0800           0.0004
1.1000           0.0079
1.1200           0.0159
1.1400           0.0243
1.1600           0.0332
1.1800           0.0425
1.2000           0.0520
1.2200           0.0618
1.2400           0.0718
1.2600           0.0725
1.2800           0.0731
1.3000           0.0736
1.3200           0.0740
1.3400           0.0742
1.3600           0.0745
1.3800           0.0746
1.4000           0.0746
1.4200           0.0746
1.4400           0.0745
1.4600           0.0744
1.4800           0.0742
1.5000           0.0739
1.5200           0.0737
1.5400           0.0733
1.5600           0.0730
1.5800           0.0726
1.6000           0.0722
1.6200           0.0717
1.6400           0.0713
1.6600           0.0708
1.6800           0.0703
1.7000           0.0697
1.7200           0.0692
1.7400           0.0686
1.7600           0.0681
1.7800           0.0675
1.8000           0.0669
1.8200           0.0664
1.8400           0.0658
1.8600           0.0652
1.8800           0.0646
1.9000           0.0640
1.9200           0.0634
1.9400           0.0628
1.9600           0.0622
1.9800           0.0616
2.0000           0.0610
