# displ inc, [mm]   residual [N]
 -150.0000       -605.3466
 -145.0000       -558.1209
 -140.0000       -503.3445
 -135.0000       -440.6323
 -130.0000       -369.9379
 -125.0000       -291.5419
 -120.0000       -206.0329
 -115.0000       -114.2814
 -110.0000       -17.4082
 -105.0000       83.2532
 -100.0000       186.1988
 -95.0000       289.8002
 -90.0000       392.3528
 -85.0000       492.1271
 -80.0000       587.4195
 -75.0000       676.6036
 -70.0000       758.1796
 -65.0000       830.8215
 -60.0000       893.4207
 -55.0000       945.1253
 -50.0000       985.3740
 -45.0000       1013.9238
 -40.0000       1030.8716
 -35.0000       1036.6683
 -30.0000       1032.1253
 -25.0000       1018.4134
 -20.0000       997.0547
 -15.0000       969.9062
 -10.0000       939.1369
 -5.0000       907.1980
 0.0000       876.7882
 5.0000       850.8126
 10.0000       832.3389
 15.0000       824.5499
 20.0000       830.6947
 25.0000       854.0385
 30.0000       897.8130
 35.0000       965.1692
 40.0000       1059.1308
 45.0000       1182.5530
 50.0000       1338.0838
