# strain, [-]   Kirchhoff stress, [kN/mm2]
0.0000           0.0000
-0.0141           -2.9694
-0.0283           -5.9364
-0.0424           -8.8982
-0.0564           -11.8518
-0.0704           -14.7942
-0.0844           -17.7219
-0.0982           -20.6314
-0.1120           -23.5186
-0.1256           -26.3794
-0.1391           -29.2093
-0.1524           -32.0037
-0.1655           -34.7574
-0.1784           -37.4652
-0.1911           -40.1215
-0.2034           -42.7205
-0.2155           -45.2562
-0.2272           -47.7221
-0.2386           -50.1120
-0.2496           -52.4190
-0.2602           -54.6364
-0.2703           -56.7573
-0.2799           -58.7748
-0.2890           -60.6821
-0.2975           -62.4722
-0.3054           -64.1385
-0.3127           -65.6745
-0.3194           -67.0742
-0.3254           -68.3316
-0.3307           -69.4413
-0.3352           -70.3986
-0.3390           -71.1990
-0.3421           -71.8390
-0.3444           -72.3155
-0.3458           -72.6263
-0.3465           -72.7698
-0.3464           -72.7456
-0.3455           -72.5535
-0.3438           -72.1946
-0.3413           -71.6705
-0.3380           -70.9838
-0.3340           -70.1376
-0.3292           -69.1357
-0.3237           -67.9827
-0.3175           -66.6836
-0.3107           -65.2439
-0.3032           -63.6695
-0.2951           -61.9667
-0.2864           -60.1420
-0.2772           -58.2021
-0.2674           -56.1540
-0.2572           -54.0045
-0.2465           -51.7604
-0.2354           -49.4288
-0.2239           -47.0162
-0.2120           -44.5294
-0.1999           -41.9748
-0.1874           -39.3586
-0.1747           -36.6868
-0.1617           -33.9652
-0.1486           -31.1992
-0.1352           -28.3940
-0.1217           -25.5547
-0.1080           -22.6858
-0.0942           -19.7917
-0.0804           -16.8766
-0.0664           -13.9443
-0.0524           -10.9983
-0.0383           -8.0419
-0.0242           -5.0784
-0.0100           -2.1105
0.0041           0.8592
0.0182           3.8283
0.0324           6.7944
0.0465           9.7556
0.0605           12.7101
0.0746           15.6561
0.0885           18.5920
0.1025           21.5166
0.1163           24.4285
0.1301           27.3266
0.1439           30.2098
0.1575           33.0773
0.1711           35.9283
0.1846           38.7620
0.1980           41.5777
0.2113           44.3750
0.2245           47.1533
0.2377           49.9122
0.2507           52.6514
0.2637           55.3705
0.2765           58.0693
0.2893           60.7475
0.3019           63.4051
0.3145           66.0419
0.3269           68.6578
0.3393           71.2527
0.3516           73.8266
0.3637           76.3795
0.3758           78.9114
0.3877           81.4224
