# strain, [-]   Kirchhoff stress, [kN/mm2]
0.0000           0.0000
-0.0141           -2.9694
-0.0283           -5.9364
-0.0424           -8.8982
-0.0564           -11.8518
-0.0704           -14.7942
-0.0844           -17.7219
-0.0982           -20.6314
-0.1120           -23.5186
-0.1256           -25.0000
-0.1391           -25.0000
-0.1524           -25.0000
-0.1655           -25.0000
-0.1784           -25.0001
-0.1911           -25.0001
-0.2034           -25.0001
-0.2155           -25.0001
-0.2272           -25.0001
-0.2386           -25.0001
-0.2496           -25.0001
-0.2602           -25.0001
-0.2703           -25.0002
-0.2799           -25.0002
-0.2890           -25.0002
-0.2975           -25.0002
-0.3054           -25.0002
-0.3127           -25.0002
-0.3194           -25.0002
-0.3254           -25.0002
-0.3307           -25.0002
-0.3352           -25.0002
-0.3390           -25.0002
-0.3421           -25.0002
-0.3444           -25.0002
-0.3458           -25.0002
-0.3465           -25.0002
-0.3464           -24.9759
-0.3455           -24.7839
-0.3438           -24.4250
-0.3413           -23.9009
-0.3380           -23.2142
-0.3340           -22.3680
-0.3292           -21.3661
-0.3237           -20.2131
-0.3175           -18.9140
-0.3107           -17.4743
-0.3032           -15.8999
-0.2951           -14.1971
-0.2864           -12.3724
-0.2772           -10.4325
-0.2674           -8.3844
-0.2572           -6.2348
-0.2465           -3.9908
-0.2354           -1.6591
-0.2239           0.7534
-0.2120           3.2402
-0.1999           5.7948
-0.1874           8.4110
-0.1747           11.0828
-0.1617           13.8044
-0.1486           16.5704
-0.1352           19.3756
-0.1217           22.2149
-0.1080           25.0002
-0.0942           25.0002
-0.0804           25.0003
-0.0664           25.0003
-0.0524           25.0003
-0.0383           25.0003
-0.0242           25.0003
-0.0100           25.0003
0.0041           25.0003
0.0182           25.0004
0.0324           25.0004
0.0465           25.0004
0.0605           25.0004
0.0746           25.0004
0.0885           25.0004
0.1025           25.0004
0.1163           25.0005
0.1301           25.0005
0.1439           25.0005
0.1575           25.0005
0.1711           25.0005
0.1846           25.0005
0.1980           25.0005
0.2113           25.0005
0.2245           25.0006
0.2377           25.0006
0.2507           25.0006
0.2637           25.0006
0.2765           25.0006
0.2893           25.0006
0.3019           25.0006
0.3145           25.0007
0.3269           25.0007
0.3393           25.0007
0.3516           25.0007
0.3637           25.0007
0.3758           25.0007
0.3877           25.0007
