# total strain, [-]   plastic strain, [-]
0.0000           0.0000
-0.0141           0.0000
-0.0283           0.0000
-0.0424           0.0000
-0.0564           0.0000
-0.0704           0.0000
-0.0844           0.0000
-0.0982           0.0000
-0.1120           0.0000
-0.1256           -0.0066
-0.1391           -0.0200
-0.1524           -0.0334
-0.1655           -0.0465
-0.1784           -0.0594
-0.1911           -0.0720
-0.2034           -0.0844
-0.2155           -0.0965
-0.2272           -0.1082
-0.2386           -0.1196
-0.2496           -0.1306
-0.2602           -0.1411
-0.2703           -0.1512
-0.2799           -0.1608
-0.2890           -0.1699
-0.2975           -0.1784
-0.3054           -0.1864
-0.3127           -0.1937
-0.3194           -0.2004
-0.3254           -0.2063
-0.3307           -0.2116
-0.3352           -0.2162
-0.3390           -0.2200
-0.3421           -0.2230
-0.3444           -0.2253
-0.3458           -0.2268
-0.3465           -0.2275
-0.3464           -0.2275
-0.3455           -0.2275
-0.3438           -0.2275
-0.3413           -0.2275
-0.3380           -0.2275
-0.3340           -0.2275
-0.3292           -0.2275
-0.3237           -0.2275
-0.3175           -0.2275
-0.3107           -0.2275
-0.3032           -0.2275
-0.2951           -0.2275
-0.2864           -0.2275
-0.2772           -0.2275
-0.2674           -0.2275
-0.2572           -0.2275
-0.2465           -0.2275
-0.2354           -0.2275
-0.2239           -0.2275
-0.2120           -0.2275
-0.1999           -0.2275
-0.1874           -0.2275
-0.1747           -0.2275
-0.1617           -0.2275
-0.1486           -0.2275
-0.1352           -0.2275
-0.1217           -0.2275
-0.1080           -0.2271
-0.0942           -0.2133
-0.0804           -0.1994
-0.0664           -0.1855
-0.0524           -0.1714
-0.0383           -0.1573
-0.0242           -0.1432
-0.0100           -0.1291
0.0041           -0.1150
0.0182           -0.1008
0.0324           -0.0867
0.0465           -0.0726
0.0605           -0.0585
0.0746           -0.0445
0.0885           -0.0305
0.1025           -0.0166
0.1163           -0.0027
0.1301           0.0111
0.1439           0.0248
0.1575           0.0385
0.1711           0.0520
0.1846           0.0655
0.1980           0.0789
0.2113           0.0923
0.2245           0.1055
0.2377           0.1186
0.2507           0.1317
0.2637           0.1446
0.2765           0.1575
0.2893           0.1702
0.3019           0.1829
0.3145           0.1954
0.3269           0.2079
0.3393           0.2202
0.3516           0.2325
0.3637           0.2447
0.3758           0.2567
0.3877           0.2687
